"year","state","party","candidate","candidatevotes","party_percentage"
2000,"ALABAMA","REPUBLICAN","GEORGE W. BUSH",138491,8.28022583466812
2000,"ARIZONA","REPUBLICAN","GEORGE W. BUSH",479967,31.2862872552413
2000,"ARKANSAS","DEMOCRAT","AL GORE",68320,7.41173879695936
2000,"CALIFORNIA","DEMOCRAT","AL GORE",1710505,15.5984630839581
2000,"COLORADO","REPUBLICAN","GEORGE W. BUSH",128294,7.36743876212052
2000,"DELAWARE","DEMOCRAT","AL GORE",127539,38.9397580061613
2000,"DISTRICT OF COLUMBIA","DEMOCRAT","AL GORE",171923,85.1550813793377
2000,"FLORIDA","DEMOCRAT","AL GORE",387703,6.50436361074109
2000,"HAWAII","DEMOCRAT","AL GORE",139618,37.9529780819907
2000,"IDAHO","REPUBLICAN","GEORGE W. BUSH",75050,14.961494833749
2000,"ILLINOIS","DEMOCRAT","AL GORE",1280547,27.0036648142615
2000,"IOWA","DEMOCRAT","AL GORE",89715,6.8195137747109
2000,"KANSAS","REPUBLICAN","GEORGE W. BUSH",129965,12.1211584233028
2000,"KENTUCKY","DEMOCRAT","AL GORE",149901,9.70743828305769
2000,"LOUISIANA","DEMOCRAT","AL GORE",137630,7.79483659331149
2000,"MARYLAND","DEMOCRAT","AL GORE",232453,11.4764401524577
2000,"MASSACHUSETTS","DEMOCRAT","AL GORE",404043,14.9480352084955
2000,"MICHIGAN","DEMOCRAT","AL GORE",530414,12.5313067676957
2000,"MINNESOTA","DEMOCRAT","AL GORE",307599,12.613314142663
2000,"MISSISSIPPI","DEMOCRAT","AL GORE",46789,4.7027618134414
2000,"MONTANA","REPUBLICAN","GEORGE W. BUSH",33922,8.25380913218455
2000,"NEBRASKA","REPUBLICAN","GEORGE W. BUSH",101025,14.4938660208689
2000,"NEVADA","DEMOCRAT","AL GORE",196100,32.2019147084421
2000,"NEW HAMPSHIRE","REPUBLICAN","GEORGE W. BUSH",80649,14.1717962820758
2000,"NEW JERSEY","DEMOCRAT","AL GORE",202682,6.35919762200735
2000,"NEW MEXICO","DEMOCRAT","AL GORE",99461,16.6154642878025
2000,"NEW YORK","DEMOCRAT","AL GORE",497468,7.29211481854512
2000,"NORTH DAKOTA","REPUBLICAN","GEORGE W. BUSH",33536,11.6336590730122
2000,"OHIO","DEMOCRAT","AL GORE",359913,7.64884260976139
2000,"OREGON","DEMOCRAT","AL GORE",188441,12.2845457010837
2000,"PENNSYLVANIA","DEMOCRAT","AL GORE",449182,9.14424029225284
2000,"SOUTH CAROLINA","REPUBLICAN","GEORGE W. BUSH",92714,6.7000680022865
2000,"TENNESSEE","DEMOCRAT","AL GORE",190404,9.17087672028595
2000,"TEXAS","REPUBLICAN","GEORGE W. BUSH",529159,8.25825495420543
2000,"UTAH","REPUBLICAN","GEORGE W. BUSH",171585,22.2619668532372
2000,"VERMONT","DEMOCRAT","AL GORE",39156,13.3044293733096
2000,"VIRGINIA","REPUBLICAN","GEORGE W. BUSH",202181,7.38448783106853
2000,"WASHINGTON","DEMOCRAT","AL GORE",476700,19.1565723278149
2000,"WEST VIRGINIA","DEMOCRAT","AL GORE",38524,5.94392431078004
2000,"WISCONSIN","DEMOCRAT","AL GORE",252329,9.71016394552928
2000,"WYOMING","REPUBLICAN","GEORGE W. BUSH",21797,9.98255103022198
2004,"ALABAMA","REPUBLICAN","GEORGE W. BUSH",158680,8.42512138854156
2004,"ARIZONA","REPUBLICAN","GEORGE W. BUSH",679455,33.7603132290065
2004,"ARKANSAS","DEMOCRAT","JOHN KERRY",82755,7.85379816151558
2004,"CALIFORNIA","DEMOCRAT","JOHN KERRY",1907736,15.4052455175272
2004,"COLORADO","DEMOCRAT","JOHN KERRY",166135,7.80112038241385
2004,"DELAWARE","DEMOCRAT","JOHN KERRY",146171,38.9612708905296
2004,"DISTRICT OF COLUMBIA","DEMOCRAT","JOHN KERRY",202970,89.1838689550324
2004,"FLORIDA","DEMOCRAT","JOHN KERRY",453873,5.96431448354164
2004,"GEORGIA","DEMOCRAT","JOHN KERRY",200787,6.08668633044237
2004,"HAWAII","DEMOCRAT","JOHN KERRY",152500,35.5846974134008
2004,"IDAHO","REPUBLICAN","GEORGE W. BUSH",94641,15.8163094776528
2004,"ILLINOIS","DEMOCRAT","JOHN KERRY",1439724,27.2911988914616
2004,"INDIANA","DEMOCRAT","JOHN KERRY",162249,6.5741032624771
2004,"IOWA","DEMOCRAT","JOHN KERRY",105218,6.98237715905682
2004,"KANSAS","REPUBLICAN","GEORGE W. BUSH",158103,13.3110672562378
2004,"KENTUCKY","DEMOCRAT","JOHN KERRY",170158,9.47501475616139
2004,"LOUISIANA","DEMOCRAT","JOHN KERRY",152610,7.85392047577435
2004,"MARYLAND","DEMOCRAT","JOHN KERRY",273936,11.4777108600322
2004,"MASSACHUSETTS","DEMOCRAT","JOHN KERRY",440862,15.1374748144821
2004,"MICHIGAN","DEMOCRAT","JOHN KERRY",600047,12.3995815882289
2004,"MINNESOTA","DEMOCRAT","JOHN KERRY",383842,13.573633679297
2004,"MISSISSIPPI","DEMOCRAT","JOHN KERRY",51370,4.60775757293075
2004,"MISSOURI","DEMOCRAT","JOHN KERRY",295284,10.810862265154
2004,"MONTANA","REPUBLICAN","GEORGE W. BUSH",40903,9.08079763072947
2004,"NEBRASKA","REPUBLICAN","GEORGE W. BUSH",120813,15.5249516182506
2004,"NEVADA","DEMOCRAT","JOHN KERRY",281767,33.9647318484981
2004,"NEW HAMPSHIRE","REPUBLICAN","GEORGE W. BUSH",99724,14.7158908128241
2004,"NEW JERSEY","DEMOCRAT","JOHN KERRY",207666,5.75301320805576
2004,"NEW MEXICO","DEMOCRAT","JOHN KERRY",132252,17.4866191372781
2004,"NEW YORK","DEMOCRAT","JOHN KERRY",509841,6.89809926510979
